ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Fecha,Dias_Pasados
1405500,"Action, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",,0,5,1499,0,-1,1398
1407450,"Indie, RPG, Strategy, Early Access","Single-player, Steam Cloud, Family Sharing",,0,2,1799,0,-1,1398
1449200,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,0,31,5999,0,-1,1398
1457620,"Action, Adventure, Casual, RPG, Strategy","Single-player, Family Sharing",,0,4,199,0,-1,1398
1515900,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,0,1,1499,0,-1,1398
1545560,"Adventure, RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,0,125,3999,0,-1,1398
1546320,"RPG, Free to Play","Single-player, Steam Achievements, In-App Purchases, Steam Cloud",,0,1354,0,1,-1,1398
1570510,RPG,"Single-player, Steam Achievements, Partial Controller Support, Remote Play Together, Family Sharing","{'date': 'Nov 4, 2021'}",0,3,5999,0,-1,1398
1579380,"Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",,0,13,1999,0,-1,1398
1627680,"RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing",,0,6,599,0,-1,1398
1637230,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Family Sharing",,0,0,3999,0,-1,1398
1649010,"Action, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,0,75,4999,0,-1,1398
1689010,"Adventure, Indie, RPG","Single-player, Partial Controller Support, Family Sharing",,0,0,999,0,-1,1398
1723260,"Adventure, Casual, Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0,6,999,0,-1,1398
1741400,"Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing","{'date': '29 Sep, 2023'}",0,5,1099,0,29/09/2023 00:00,192
1777430,"Adventure, Casual","Single-player, Family Sharing",,0,2,1399,0,-1,1398
1815570,"Adventure, RPG, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0,15,1999,0,-1,1398
1856750,"Adventure, RPG, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0,0,4999,0,-1,1398
1868000,"Adventure, Indie, RPG, Strategy, Early Access","Single-player, Family Sharing",,0,2,1699,0,-1,1398
