ID del juego,Repeticiones,Minutos Totales
599140,35,45712
609320,5,836
632360,166,490005
601430,25,25362
704270,37,44459
708420,1,218
742420,10,8294
861540,2,234
872670,11,3171
905370,58,78988
920210,37,50682
1063420,3,1923
1128000,11,13338
322500,55,13473
1364960,7,564
1504150,2,47
1570010,3,851
979690,5,1080
1624540,2,473
1549970,17,10253
1672970,6,5903
1774580,20,31829
1789480,12,32956
1944240,2,37
1948280,17,7748
1988550,2,590
2214080,1,886
2221490,14,22579
1712840,16,4892
2428770,2,153
2696480,9,814
331670,8,2694
356520,2,108
505460,35,103526
509980,12,5238
113020,42,6065
1005300,11,4921
976730,125,436056
1562430,15,8106
239820,62,38661
311690,64,113679
331440,12,2653
257510,28,33207
598980,4,2317
606150,28,10611
629760,76,352604
692890,11,10612
751780,33,44785
757320,3,1188
799600,3,1082
1147560,23,30870
1210320,25,9077
1229380,7,1965
1229490,18,66927
1282730,20,20566
1321440,3,1367
1343370,18,4493
1382330,13,22908
1388770,6,4103
1454400,30,311385
1468260,16,41055
1476970,21,31083
1488100,1,8
1533420,7,6335
1621690,25,43399
1384160,19,24757
1687950,21,88914
1734320,2,1421
1446780,51,226654
1785150,9,2137
1869590,43,24890
1902490,32,904
1939160,1,792
1942280,58,68783
1927780,24,80121
1973530,11,15969
1284190,10,12438
1999360,8,4183
1313140,38,47257
1971650,5,14153
2171440,6,3146
2212330,9,8761
820520,7,2589
206210,54,14165
213650,13,986
766570,73,313871
658570,2,2475
787860,46,404351
953580,2,725
619080,7,1454
802240,1,40
21100,39,15217
348820,5,33469
393420,63,450627
1048540,33,4526
1248130,35,235419
1817070,40,68306
1817190,21,16412
2000950,10,5155
1089350,39,256709
1225330,15,76115
235340,17,9034
2250040,17,34051
17520,57,29180
300040,9,131
436520,70,15990
591740,10,2618
1301210,14,5070
391460,69,6615
414530,21,11311
771060,6,1467
895670,1,1825
918570,38,5779
1436900,18,3247
33600,1,3
233720,55,11682
214770,13,7559
250460,13,778
253410,1,12
258890,4,487
1308380,34,6046
31290,4,568
218640,52,13864
222980,8,973
226700,45,119794
109400,22,18221
255280,15,3483
219830,14,3486
209170,37,85529
245490,7,4784
221380,108,268896
360380,11,2405
289950,16,18930
292730,18,34260
393100,12,7530
682990,23,19379
686810,70,324188
859570,33,25868
915810,7,3967
1101360,6,1289
1137460,17,2709
1149620,21,13114
1239080,8,3375
1330460,5,1566
1426440,11,4029
1142710,40,370441
1570330,6,1102
1599600,26,47794
1766060,3,1830
1766740,9,1197
924970,31,75572
1273400,15,34276
1677280,8,9098
4230,1,129
230650,3,487
265550,38,26785
17570,32,7462
282070,120,97634
346120,22,5172
356370,4,32
391780,6,30
417860,41,2535
420880,1,6
446150,17,6668
485610,61,29928
496460,2,589
508440,42,39901
514920,6,1783
517630,27,33386
592600,13,3495
636480,23,31448
649900,5,1100
688420,13,4630
624090,8,114485
624120,1,1
594570,57,616000
703060,1,8
736590,30,4460
759530,3,810
950100,13,5048
1030840,55,32695
325610,24,108913
1255630,5,12725
1259970,58,188099
1287260,1,42
1290260,5,84
1263850,9,106236
1482620,51,7171
1824220,42,53338
8230,4,234
243870,73,99078
296300,8,4236
243470,58,51783
349500,13,2321
244930,64,7259
323580,51,11070
233130,81,27049
255520,33,3822
973760,11,6322
308600,22,4915
766370,16,2216
1202900,4,448
1284410,51,73559
351510,15,389
927350,2,1267
380,96,29645
420,95,38766
65800,28,78507
113420,35,5160
39120,52,74471
241640,10,306
216250,61,57433
91310,86,93085
238590,4,752
316390,43,3372
383180,55,17882
441870,17,1721
524900,4,37
374040,40,70378
653120,3,78
671510,17,6159
677120,18,30490
840720,7,4819
963690,22,2808
1056960,11,2884
1077410,10,2230
617290,45,74791
1169040,16,11528
678960,61,117036
1239690,11,2153
601150,85,83952
261820,20,14025
212480,25,13570
282800,53,76551
687850,13,1475
1218740,53,89910
17480,29,12542
42680,75,67596
2500,9,2081
15370,4,12108
22230,16,2682
200710,71,116787
211420,48,137197
50650,22,45093
220820,19,4992
48220,10,6430
226720,14,7291
389300,18,19283
415270,3,226
321960,12,10838
257420,14,5232
268420,46,984441
315640,21,2026
28000,27,4264
372000,43,124991
385760,11,148716
519140,5,165
874240,21,8659
1025600,8,3215
1183940,34,10191
707010,39,44798
240320,35,11837
250420,13,453
270370,16,12387
291210,17,3925
293260,15,19872
293540,22,1540
215080,31,78824
317780,3,77
329790,1,224
349480,10,890
356130,5,482
362070,5,266
385770,33,42734
386010,9,782
438140,1,87
478980,4,3167
491950,50,8893
562010,23,7248
606140,3,109
630100,54,44609
714070,22,4467
368230,76,22891
984110,17,1827
992490,14,47
